id,category,subtype,buy_or_rent,geography,latitude,longitude,sq_meters,floor_number,rooms,bathrooms,ad_type,agent_id,first_seen,last_seen,is_active
18245668,house,3,sale,Palaio Faliro (Athens - South),37.930904,23.698078,248,10,3,4,vip,4474,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18247246,house,4,sale,Πανόραμα Σαρωνίδας (Σαρωνίδα),37.745018,23.921993,166,6,3,2,vip,270,2026-01-28 01:26:25,2026-01-28 01:26:25,1
18249367,house,1,sale,Paradeisos (Agia Paraskevi),38.017605,23.834761,92,3,2,1,vip,4650,2026-01-27 06:30:23,2026-01-27 06:30:23,1
18249377,house,3,sale,Μετς (Αθήνα - Κέντρο),37.966396,23.736319,187,7,4,2,vip,24733,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18251808,house,1,sale,Pagkrati Center (Athens - Center),37.969601,23.749458,60,6,1,1,vip,3786,2026-01-27 06:30:18,2026-01-27 06:30:18,1
18252055,house,4,sale,Agia Marina (Koropi),37.815777,23.871845,540,7,8,4,vip,4594,2026-01-27 06:30:23,2026-01-27 06:30:23,1
18254205,house,1,sale,Floisvos (Palaio Faliro),37.925735,23.692123,162,11,3,1,vip,3786,2026-01-27 06:30:18,2026-01-27 06:30:18,1
18254898,house,1,sale,Δικηγορικά (Βούλα),37.847672,23.774761,148,3,3,2,vip,270,2026-01-28 01:26:25,2026-01-28 01:26:25,1
18255421,house,1,sale,Σούρμενα (Ελληνικό),37.89497,23.748827,76,6,2,1,vip,5349,2026-01-28 01:26:23,2026-01-28 01:26:23,1
18256384,house,3,sale,Μορτερό (Νέα Ερυθραία),38.097576,23.818102,308,3,4,2,vip,3155,2026-01-28 01:26:25,2026-01-28 01:26:25,1
18256864,house,3,sale,Πολιτεία (Κηφισιά),38.088608,23.832994,500,3,5,3,vip,3155,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18258529,house,3,sale,Agios Nikolaos (Anavyssos),37.723202,23.921083,240,6,4,3,vip,4594,2026-01-27 06:30:23,2026-01-27 06:30:23,1
